Symbol,Name
A2M.AX,The a2 Milk Company
ABC.AX,Adbri
ABP.AX,Abacus Property Group
AGL.AX,AGL Energy
AIA.AX,Auckland Airport
AKE.AX,Allkem
ALD.AX,Ampol
ALL.AX,Aristocrat Leisure
ALQ.AX,ALS
ALU.AX,Altium
ALX.AX,Atlas Arteria
AMC.AX,Amcor
AMP.AX,AMP
ANN.AX,Ansell
ANZ.AX,Australia & New Zealand Banking Group
APA.AX,APA Group
APE.AX,Eagers Automotive
SQ2.AX,Block Inc. CDI
ARB.AX,ARB Corporation
ARF.AX,Arena REIT
ASX.AX,ASX
AUB.AX,AUB Group
AWC.AX,Alumina
AZJ.AX,Aurizon
AVZ.AX,AVZ Minerals
BAP.AX,Bapcor
BEN.AX,Bendigo & Adelaide Bank
BGA.AX,Bega Cheese
BHP.AX,BHP
BKL.AX,Blackmores
BKW.AX,Brickworks
BLD.AX,Boral
BOQ.AX,Bank of Queensland
BPT.AX,Beach Energy
BRN.AX,Brainchip
BRG.AX,Breville Group
BSL.AX,BlueScope
BWP.AX,BWP Trust
BXB.AX,Brambles
CAR.AX,Carsales
CBA.AX,Commonwealth Bank
CCP.AX,Credit Corp Group
CCX.AX,City Chic Collective
CGC.AX,Costa Group
CGF.AX,Challenger
CHC.AX,Charter Hall
CHN.AX,Chalice Mining
CIA.AX,Champion Iron
CIP.AX,Centuria Industrial REIT
CKF.AX,Collins Foods
CLW.AX,Charter Hall Long WALE REIT
CMW.AX,Cromwell Property Group
CNI.AX,Centuria Capital
CNU.AX,Chorus
COH.AX,Cochlear
COL.AX,Coles Group
CPU.AX,Computershare
CRN.AX,Coronado Global Resources
CQR.AX,Charter Hall Retail REIT
CSL.AX,CSL
CSR.AX,CSR
CTD.AX,Corporate Travel Management
CUV.AX,Clinuvel Pharmaceut
CWY.AX,Cleanaway
CXO.AX,Core Lithium
DEG.AX,De Grey Mining
DHG.AX,Domain Group
DMP.AX,Domino's Pizza Enterprises
DOW.AX,Downer Group
DRR.AX,Deterra Royalties
DXS.AX,Dexus
EDV.AX,Endeavour Group
ELD.AX,Elders
EML.AX,EML Payments
EVN.AX,Evolution Mining
EVT.AX,Event Hospitality and Entertainment
FBU.AX,Fletcher Building
FLT.AX,Flight Centre
FMG.AX,Fortescue Metals Group
FPH.AX,Fisher & Paykel Healthcare
GMG.AX,Goodman Group
GNC.AX,GrainCorp
GOR.AX,Gold Road Res
GOZ.AX,Growthpoint Properties
GPT.AX,GPT Group
GUD.AX,GUD Holdings
HDN.AX,HomeCo Daily Needs REIT
HLS.AX,Healius
HMC.AX,Home Consortium
HUB.AX,HUB24
HVN.AX,Harvey Norman
IAG.AX,Insurance Australia Group
IEL.AX,Idp Education
IFL.AX,Insignia Financial
IGO.AX,Independence Group
ILU.AX,Iluka Resources
IMU.AX,Imugene
INA.AX,Ingenia Group
ING.AX,Inghams
IPH.AX,IPH
IPL.AX,Incitec Pivot
IRE.AX,Iress
IVC.AX,InvoCare
JBH.AX,JB Hi-Fi
JHG.AX,Janus Henderson
JHX.AX,James Hardie
KLS.AX,Kelsian Group
LIC.AX,Lifestyle Communities
LKE.AX,Lake Resources
LLC.AX,Lendlease
LNK.AX,Link Admin
LTR.AX,Liontown Resources
LYC.AX,Lynas
MFG.AX,Magellan Financial Group
MGR.AX,Mirvac
MIN.AX,Mineral Resources
MP1.AX,Megaport
MPL.AX,Medibank
MQG.AX,Macquarie Group
MTS.AX,Metcash
NAB.AX,National Australia Bank
NAN.AX,Nanosonics
NCM.AX,Newcrest
NEC.AX,Nine Entertainment
NHC.AX,New Hope Corporation
NHF.AX,Nib
NIC.AX,Nickel Industries Limited
NSR.AX,National Storage
NST.AX,Northern Star Resources
NUF.AX,Nufarm
NVX.AX,Novonix
NWL.AX,Netwealth Group
NWS.AX,News Corp Class B
NXT.AX,NextDC
ORA.AX,Orora
ORG.AX,Origin Energy
ORI.AX,Orica
OZL.AX,Oz Minerals
PBH.AX,Pointsbet Holdings
PDL.AX,Pendal Group
PDN.AX,Paladin Energy
PLS.AX,Pilbara Minerals
PME.AX,Pro Medicus
PMV.AX,Premier Investments
PNI.AX,Pinnacle Investment Management
PPT.AX,Perpetual
PRU.AX,Perseus Mining
QAN.AX,Qantas
QBE.AX,QBE Insurance
QUB.AX,Qube Holdings
REA.AX,REA Group
REH.AX,Reece Group
RHC.AX,Ramsay Health Care
RIO.AX,Rio Tinto
RMD.AX,ResMed
RMS.AX,Ramelius Resources
RRL.AX,Regis Resources
RWC.AX,Reliance Worldwide Corporation
S32.AX,South32
SBM.AX,St Barbara
SCG.AX,Scentre Group
SCP.AX,Shopping Centres Australasia Property Group
SDF.AX,Steadfast Group
SEK.AX,Seek
SFR.AX,Sandfire Resources
SGM.AX,Sims Metal
SGP.AX,Stockland
SGR.AX,Star Entertainment Group
SHL.AX,Sonic Healthcare
SLR.AX,Silver Lake Resource
SOL.AX,Washington H Soul Pattinson
STO.AX,Santos
SUL.AX,Super Retail Group
SUN.AX,Suncorp
SVW.AX,Seven Group Holdings
TLX.AX,Telix Pharmaceuticals
TAH.AX,Tabcorp
TCL.AX,Transurban
TLC.AX,The Lottery Corporation
TLS.AX,Telstra
TNE.AX,TechnologyOne
TPG.AX,TPG Telecom
TWE.AX,Treasury Wine Estates
TYR.AX,Tyro Payments
UMG.AX,United Malt Group
UWL.AX,Uniti Group
VCX.AX,Vicinity Centres
VEA.AX,Viva Energy
VUK.AX,Virgin Money UK plc
WBC.AX,Westpac
WEB.AX,Webjet
WES.AX,Wesfarmers
WHC.AX,Whitehaven Coal
WOR.AX,Worley
