Symbol,Name
ACS.MC,ACS
ACX.MC,Acerinox
AENA.MC,Aena
AMS.MC,Amadeus IT Group
ANA.MC,Acciona
ANE.MC,Acciona Energía
BBVA.MC,BBVA
BKT.MC,Bankinter
CABK.MC,CaixaBank
CLNX.MC,Cellnex Telecom
COL.MC,Inmobiliaria Colonial
ELE.MC,Endesa
ENG.MC,Enagás
FDR.MC,Fluidra
FER.MC,Ferrovial
GRF.MC,Grifols
IAG.MC,International Airlines Group
IBE.MC,Iberdrola
IDR.MC,Indra
ITX.MC,Inditex
LOG.MC,Logista
MAP.MC,Mapfre
MEL.MC,Meliá Hotels
MRL.MC,Merlin Properties
MTS.MC,ArcelorMittal
NTGY.MC,Naturgy
RED.MC,Red Eléctrica
REP.MC,Repsol
ROVI.MC,Laboratorios Rovi [es]
SAB.MC,Banco Sabadell
SAN.MC,Santander
SACYR.MC,Sacyr
SLR.MC,Solaria
TEF.MC,Telefónica
UNI.MC,Unicaja
