Symbol,Name
ADANIENT.NS,Adani Enterprises
ADANIPORTS.NS,Adani Ports & SEZ
APOLLOHOSP.NS,Apollo Hospitals
ASIANPAINT.NS,Asian Paints
AXISBANK.NS,Axis Bank
BAJAJ-AUTO.NS,Bajaj Auto
BAJFINANCE.NS,Bajaj Finance
BAJAJFINSV.NS,Bajaj Finserv
BPCL.NS,Bharat Petroleum
BHARTIARTL.NS,Bharti Airtel
BRITANNIA.NS,Britannia Industries
CIPLA.NS,Cipla
COALINDIA.NS,Coal India
DIVISLAB.NS,Divi's Laboratories
DRREDDY.NS,Dr. Reddy's Laboratories
EICHERMOT.NS,Eicher Motors
GRASIM.NS,Grasim Industries
HCLTECH.NS,HCLTech
HDFCBANK.NS,HDFC Bank
HDFCLIFE.NS,HDFC Life
HEROMOTOCO.NS,Hero MotoCorp
HINDALCO.NS,Hindalco Industries
HINDUNILVR.NS,Hindustan Unilever
ICICIBANK.NS,ICICI Bank
INDUSINDBK.NS,IndusInd Bank
INFY.NS,Infosys
ITC.NS,ITC
JSWSTEEL.NS,JSW Steel
KOTAKBANK.NS,Kotak Mahindra Bank
LT.NS,Larsen & Toubro
LTIM.NS,LTIMindtree
M&M.NS,Mahindra & Mahindra
MARUTI.NS,Maruti Suzuki
NESTLEIND.NS,Nestlé India
NTPC.NS,NTPC
ONGC.NS,Oil and Natural Gas Corporation
POWERGRID.NS,Power Grid
RELIANCE.NS,Reliance Industries
SBILIFE.NS,SBI Life Insurance Company
SBIN.NS,State Bank of India
SUNPHARMA.NS,Sun Pharma
TATAMOTORS.NS,Tata Motors
TATASTEEL.NS,Tata Steel
TCS.NS,Tata Consultancy Services
TATACONSUM.NS,Tata Consumer Products
TECHM.NS,Tech Mahindra
TITAN.NS,Titan Company
ULTRACEMCO.NS,UltraTech Cement
UPL.NS,UPL
WIPRO.NS,Wipro
