Symbol,Name
NESN.SW,Nestlé SA
ROG.SW,Roche Holding AG
NOVN.SW,Novartis International AG
CFR.SW,Compagnie Financière Richemont SA
ZURN.SW,Zurich Insurance Group AG
UBSG.SW,UBS Group AG
ABBN.SW,ABB Ltd
LONN.SW,Lonza Group AG
SIKA.SW,Sika AG
ALC.SW,Alcon Inc
GIVN.SW,Givaudan SA
HOLN.SW,Holcim Limited
SCMN.SW,Swisscom AG
PGHN.SW,Partners Group Holding AG
SREN.SW,Swiss Reinsurance Company Ltd
SOON.SW,Sonova
GEBN.SW,Geberit AG
SLHN.SW,Swiss Life Holding AG
LOGN.SW,Logitech International SA
KNIN.SW,Kuehne + Nagel
