Symbol,Name
AEM.TO,Agnico Eagle Mines Limited
AQN.TO,Algonquin Power & Utilities Corp.
ATD.TO,Alimentation Couche-Tard Inc.
BMO.TO,Bank of Montreal
BNS.TO,Bank of Nova Scotia
ABX.TO,Barrick Gold Corporation
BCE.TO,BCE Inc.
BAM.TO,Brookfield Asset Management Ltd.
BN.TO,Brookfield Corporation
BIP-UN.TO,Brookfield Infrastructure Partners L.P.
CAE.TO,CAE Inc.
CCO.TO,Cameco Corporation
CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust
CM.TO,Canadian Imperial Bank of Commerce
CNR.TO,Canadian National Railway Company
CNQ.TO,Canadian Natural Resources Limited
CP.TO,Canadian Pacific Kansas City Limited
CTC-A.TO,Canadian Tire Corporation Limited
CCL-B.TO,CCL Industries Inc.
CVE.TO,Cenovus Energy Inc.
GIB-A.TO,CGI Inc.
CSU.TO,Constellation Software Inc.
DOL.TO,Dollarama Inc.
EMA.TO,Emera Incorporated
ENB.TO,Enbridge Inc.
FM.TO,First Quantum Minerals Ltd.
FSV.TO,FirstService Corporation
FTS.TO,Fortis Inc.
FNV.TO,Franco-Nevada Corporation
WN.TO,George Weston Limited
GIL.TO,Gildan Activewear Inc.
H.TO,Hydro One Limited
IMO.TO,Imperial Oil Limited
IFC.TO,Intact Financial Corporation
K.TO,Kinross Gold Corporation
L.TO,Loblaw Companies Limited
MG.TO,Magna International Inc.
MFC.TO,Manulife Financial Corporation
MRU.TO,Metro Inc.
NA.TO,National Bank of Canada
NTR.TO,Nutrien Ltd.
OTEX.TO,Open Text Corporation
PPL.TO,Pembina Pipeline Corporation
POW.TO,Power Corporation of Canada
QSR.TO,Restaurant Brands International Inc.
RCI-B.TO,Rogers Communications Inc.
RY.TO,Royal Bank of Canada
SAP.TO,Saputo Inc.
SHOP.TO,Shopify Inc.
SLF.TO,Sun Life Financial Inc.
SU.TO,Suncor Energy Inc.
TRP.TO,TC Energy Corporation
TECK-B.TO,Teck Resources Limited
T.TO,Telus Corporation
TRI.TO,Thomson Reuters Corporation
TD.TO,Toronto-Dominion Bank
TOU.TO,Tourmaline Oil Corp.
WCN.TO,Waste Connections Inc.
WPM.TO,Wheaton Precious Metals Corp.
WSP.TO,WSP Global Inc.
